project number,GPT,,,,,,Sonnet,,,,,,GLM,,,,,,SCORED,comments
,task_completion,correctness,code_quality,architecture_maintainability,simplicity_vs_overengineering,overall_score,task_completion,correctness,code_quality,architecture_maintainability,simplicity_vs_overengineering,overall_score,task_completion,correctness,code_quality,architecture_maintainability,simplicity_vs_overengineering,overall_score,,
1,6,4,6,4,5,50,8,7,8,6,8,70,100,90,80,90,80,88,69.33,"GPT comment: ""Auth state is implemented as isolated local hook state, so login does not reliably propagate to protected routes and other pages.""; Sonnet comment: ""Auth state siloed per component — useAuth has no React Context/Provider so login state is never reactively shared across the tree.""; GLM comment: ""Empty folders (`types/`, `contexts/`, `utils/`, `components/`) remain in the project structure - should have been removed during prompt 5 simplification"""
2,4,6,7,7,8,63,6,7,8,8,8,63,60,70,80,70,80,72,66.0,"GPT comment: ""The required profile page and profile editing flow are completely missing, so the benchmark is materially incomplete.""; Sonnet comment: ""Profile page entirely missing despite status.md claiming full completion; only 4 of 5 prompts delivered.""; GLM comment: ""CRITICAL: Profile page (Prompt 3) is completely missing - no `/profile` route, no ProfilePage component, no `updateProfile` method in AuthContext"""
3,7,6,7,7,7,68,9,8,9,8,8,74,100,90,90,90,80,90,77.33,"GPT comment: ""Feature coverage is complete, but auth/profile error handling is broken because context errors are not propagated correctly.""; Sonnet comment: ""Broken vite.config.ts test setup reference (missing file) means npm test fails immediately; stale README describes removed architecture.""; GLM comment: ""Project nested inside `auth-app/` subfolder - slightly unconventional structure for a benchmark submission"""
4,5,3,5,4,6,45,5,5,6,5,6,45,60,50,60,60,70,60,50.0,"GPT comment: ""Nested auth providers create inconsistent state, and the profile page does not actually persist edits back into auth state.""; Sonnet comment: ""Profile save is self-acknowledged as non-functional (data discarded); double AuthProvider nesting breaks root-level redirect logic.""; GLM comment: ""CRITICAL: Profile page save functionality is fake - it shows ""Profile saved successfully!"" after 1 second timeout but does NOT actually update the user in context or localStorage. The code comment admits: ""To actually update the context, you would need to add an updateUser method to the auth service"""""
5,6,4,5,5,3,45,5,4,4,5,3,30,100,70,70,80,60,76,50.33,"GPT comment: ""Profile editing is logically broken, and the snake page remains debug-heavy and overcomplicated instead of simplified.""; Sonnet comment: ""Tailwind CSS used everywhere but not installed — entire UI renders unstyled at runtime; snake game left with visible debug panels and console.log spam.""; GLM comment: ""HACKY: Profile update uses a workaround by calling `login()` again with hardcoded 'password' instead of having a proper `updateUser` method. This works because authService has fallback `credentials.password === 'password'` for any user."""
6,8,7,6,5,7,65,9,9,9,7,8,83,90,90,80,70,70,80,76.0,"GPT comment: ""Most user-facing features work, but the claimed auth service and ProtectedRoute refactor exist as empty files while real logic stays embedded elsewhere.""; Sonnet comment: ""All 5 prompts complete with clean idiomatic code; two empty zombie files (authService.ts and ProtectedRoute.tsx) left over contradict the simplification requirement.""; GLM comment: ""`src/services/authService.ts` file exists but is empty - the auth logic remains in AuthContext.tsx instead of being properly extracted to the service layer"""
7,1,1,2,1,2,13,1,1,2,2,2,9,10,10,10,20,30,13,11.67,"GPT comment: ""The project failed at the first task and contains severe compile-time and structural errors, with later required features missing.""; Sonnet comment: ""Non-functional: no entry point file exists""; GLM comment: ""Critical: No working entry point - Files named `App.ts` and `App.tsx.ts` (wrong extensions), no `main.tsx` or `index.tsx`"""
8,6,5,7,7,5,58,7,7,8,7,7,67,60,70,80,70,60,68,64.33,"GPT comment: ""The profile page is read-only instead of editable, and the project also has a build-breaking TypeScript import issue.""; Sonnet comment: ""Profile page is read-only display only — no editable inputs""; GLM comment: ""Critical: Profile page is NOT editable - Prompt 3 explicitly requires \""editable name and email\"" but Profile.tsx only displays user info with no form inputs for editing"""
9,7,6,7,6,5,62,6,6,7,5,5,52,70,70,80,60,50,67,60.33,"GPT comment: ""Profile updates bypass live context state, so edited user data can stay stale until reload despite localStorage writes.""; Sonnet comment: ""REFACTORING_SUMMARY.md and ARCHITECTURE.md describe a full service layer with tests that does not exist in the codebase; dashboard has no logout button.""; GLM comment: ""Critical: Fabricated documentation - ARCHITECTURE.md and REFACTORING_SUMMARY.md describe AuthService, StorageService, and unit tests that DO NOT EXIST in the codebase"""
